Date,CPUTemp,CPU Usage,RAM Usage,GPS,IMU,UV,Dallas Temperature
2024-07-17 16:59:01,{'Temperature': 59.5},{'Usage': 0.3},{'Usage': 12.8},Error,"{'Acceleration': [1.0582371337890624, -0.6919242797851562, -9.967061511230469], 'Gyro': [-0.003730474839694657, 0.008526799633587786, 0.000799387465648855], 'Magnetic': [-31.799999999999997, 17.25, -42.15]}","{'UVA': 0.145263671875, 'UVB': 0.098052978515625, 'UVC': 0.06585693359375, 'Temperature': 26.799999999999997}",Error
2024-07-17 16:59:08,{'Temperature': 60.05},{'Usage': 0.0},{'Usage': 12.8},Error,"{'Acceleration': [1.0678139404296874, -0.6919242797851562, -9.964667309570311], 'Gyro': [-0.01119142451908397, 0.002931087374045802, 0.0018652374198473284], 'Magnetic': [-31.95, 18.3, -40.5]}","{'UVA': 0.1141357421875, 'UVB': 0.10382080078125, 'UVC': 0.06585693359375, 'Temperature': 26.799999999999997}",Error
2024-07-17 16:59:15,{'Temperature': 58.95},{'Usage': 0.5},{'Usage': 12.8},Error,"{'Acceleration': [1.0510545288085937, -0.7158662963867187, -9.981426721191406], 'Gyro': [-0.010392037053435116, 0.00985911207633588, -0.004529862305343512], 'Magnetic': [-31.5, 18.45, -41.699999999999996]}","{'UVA': 0.12969970703125, 'UVB': 0.09228515625, 'UVC': 0.063323974609375, 'Temperature': 26.799999999999997}",Error
2024-07-17 16:59:22,{'Temperature': 60.05},{'Usage': 0.0},{'Usage': 12.8},Error,"{'Acceleration': [1.0606313354492187, -0.6631938598632812, -9.995791931152343], 'Gyro': [-0.006661562213740459, 0.012257274473282443, -0.002398162396946565], 'Magnetic': [-30.9, 17.849999999999998, -39.75]}","{'UVA': 0.166015625, 'UVB': 0.1153564453125, 'UVC': 0.08612060546875, 'Temperature': 26.75}",Error
2024-07-17 16:59:29,{'Temperature': 57.85},{'Usage': 0.3},{'Usage': 12.8},Error,"{'Acceleration': [1.0606313354492187, -0.6488286499023437, -9.928754284667969], 'Gyro': [-0.007460949679389314, 0.0005329249770992366, 0.0018652374198473284], 'Magnetic': [-30.75, 20.4, -41.1]}","{'UVA': 0.2386474609375, 'UVB': 0.201873779296875, 'UVC': 0.159576416015625, 'Temperature': 26.849999999999994}",Error
2024-07-17 16:59:36,{'Temperature': 59.5},{'Usage': 0.3},{'Usage': 12.8},Error,"{'Acceleration': [1.0486603271484374, -0.6823474731445313, -9.943119494628906], 'Gyro': [-0.008526799633587786, 0.0053292497709923675, -0.003730474839694657], 'Magnetic': [-31.2, 18.3, -40.8]}","{'UVA': 0.1763916015625, 'UVB': 0.12689208984375, 'UVC': 0.093719482421875, 'Temperature': 26.900000000000006}",Error
2024-07-17 16:59:43,{'Temperature': 58.95},{'Usage': 14.1},{'Usage': 12.8},Error,"{'Acceleration': [1.0103531005859374, -0.7230489013671875, -9.950302099609374], 'Gyro': [-0.009326187099236643, 0.0018652374198473284, 0.0010658499541984733], 'Magnetic': [-30.9, 19.05, -40.05]}","{'UVA': 0.18157958984375, 'UVB': 0.138427734375, 'UVC': 0.103851318359375, 'Temperature': 26.849999999999994}",Error
2024-07-17 16:59:49,{'Temperature': 58.95},{'Usage': 0.5},{'Usage': 12.8},Error,"{'Acceleration': [1.0654197387695312, -0.7062894897460937, -9.964667309570311], 'Gyro': [-0.00639509972519084, 0.00639509972519084, 0.0], 'Magnetic': [-31.95, 19.349999999999998, -40.8]}","{'UVA': 0.19195556640625, 'UVB': 0.14996337890625, 'UVC': 0.1114501953125, 'Temperature': 26.849999999999994}",Error
2024-07-17 16:59:56,{'Temperature': 60.05},{'Usage': 0.2},{'Usage': 12.8},Error,"{'Acceleration': [1.0390835205078124, -0.6847416748046875, -9.976638317871092], 'Gyro': [-0.00319754986259542, 0.0026646248854961837, -0.0018652374198473284], 'Magnetic': [-30.15, 19.349999999999998, -41.25]}","{'UVA': 0.1556396484375, 'UVB': 0.109588623046875, 'UVC': 0.07598876953125, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:00:03,{'Temperature': 58.4},{'Usage': 0.2},{'Usage': 12.8},Error,"{'Acceleration': [1.0319009155273438, -0.6847416748046875, -9.957484704589843], 'Gyro': [-0.002931087374045802, 0.008793262122137404, -0.0053292497709923675], 'Magnetic': [-32.55, 19.2, -40.65]}","{'UVA': 0.166015625, 'UVB': 0.121124267578125, 'UVC': 0.08612060546875, 'Temperature': 26.849999999999994}",Error
2024-07-17 17:00:10,{'Temperature': 60.05},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0438719238281249, -0.6847416748046875, -9.931148486328125], 'Gyro': [-0.004263399816793893, 0.004529862305343512, -0.0018652374198473284], 'Magnetic': [-30.9, 19.8, -41.25]}","{'UVA': 0.228271484375, 'UVB': 0.201873779296875, 'UVC': 0.154510498046875, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:00:17,{'Temperature': 57.85},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.005564697265625, -0.6512228515624999, -9.995791931152343], 'Gyro': [-0.009326187099236643, 0.0026646248854961837, -0.0034640123511450386], 'Magnetic': [-30.9, 19.8, -42.3]}","{'UVA': 0.20751953125, 'UVB': 0.1614990234375, 'UVC': 0.124114990234375, 'Temperature': 26.849999999999994}",Error
2024-07-17 17:00:24,{'Temperature': 58.95},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [0.9959878906249999, -0.6679822631835937, -9.928754284667969], 'Gyro': [-0.011457887007633588, 0.005062787282442748, 0.005062787282442748], 'Magnetic': [-30.9, 19.05, -39.75]}","{'UVA': 0.11932373046875, 'UVB': 0.09228515625, 'UVC': 0.0506591796875, 'Temperature': 26.799999999999997}",Error
2024-07-17 17:00:31,{'Temperature': 58.4},{'Usage': 14.4},{'Usage': 12.9},Error,"{'Acceleration': [1.0893617553710937, -0.7302315063476562, -9.9215716796875], 'Gyro': [-0.006661562213740459, 0.00799387465648855, 0.000799387465648855], 'Magnetic': [-30.299999999999997, 18.9, -40.65]}","{'UVA': 0.12451171875, 'UVB': 0.098052978515625, 'UVC': 0.0506591796875, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:00:37,{'Temperature': 58.4},{'Usage': 0.5},{'Usage': 12.9},Error,"{'Acceleration': [1.0462661254882812, -0.7134720947265625, -9.962273107910155], 'Gyro': [-0.0021316999083969466, 0.004529862305343512, 0.0013323124427480919], 'Magnetic': [-31.2, 18.3, -41.55]}","{'UVA': 0.1763916015625, 'UVB': 0.138427734375, 'UVC': 0.0911865234375, 'Temperature': 26.799999999999997}",Error
2024-07-17 17:00:44,{'Temperature': 59.5},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0342951171875, -0.6584054565429687, -9.91438907470703], 'Gyro': [-0.007194487190839696, 0.0034640123511450386, 0.0002664624885496183], 'Magnetic': [-31.65, 18.3, -42.0]}","{'UVA': 0.1763916015625, 'UVB': 0.12689208984375, 'UVC': 0.08612060546875, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:00:51,{'Temperature': 57.85},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0319009155273438, -0.6727706665039062, -9.950302099609374], 'Gyro': [-0.007460949679389314, 0.003996937328244275, 0.0], 'Magnetic': [-31.049999999999997, 16.8, -40.65]}","{'UVA': 0.1971435546875, 'UVB': 0.167266845703125, 'UVC': 0.11651611328125, 'Temperature': 26.849999999999994}",Error
2024-07-17 17:00:58,{'Temperature': 60.6},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0295067138671874, -0.70868369140625, -9.986215124511718], 'Gyro': [-0.007194487190839696, 0.005862174748091604, -0.00159877493129771], 'Magnetic': [-30.15, 18.3, -40.8]}","{'UVA': 0.14007568359375, 'UVB': 0.09228515625, 'UVC': 0.060791015625, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:01:05,{'Temperature': 57.3},{'Usage': 0.5},{'Usage': 12.9},Error,"{'Acceleration': [1.0534487304687499, -0.6536170532226562, -9.89523546142578], 'Gyro': [-0.0053292497709923675, 0.006661562213740459, -0.0005329249770992366], 'Magnetic': [-30.75, 19.65, -42.15]}","{'UVA': 0.24383544921875, 'UVB': 0.201873779296875, 'UVC': 0.15704345703125, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:01:12,{'Temperature': 60.05},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0678139404296874, -0.689530078125, -9.91438907470703], 'Gyro': [-0.010125574564885496, 0.004263399816793893, -0.004263399816793893], 'Magnetic': [-31.5, 17.25, -41.4]}","{'UVA': 0.2178955078125, 'UVB': 0.17303466796875, 'UVC': 0.129180908203125, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:01:22,{'Temperature': 58.95},{'Usage': 14.4},{'Usage': 12.9},Error,"{'Acceleration': [1.0702081420898437, -0.7015010864257812, -9.91438907470703], 'Gyro': [-0.00985911207633588, 0.005862174748091604, 0.00159877493129771], 'Magnetic': [-30.45, 18.3, -41.55]}","{'UVA': 0.22308349609375, 'UVB': 0.190338134765625, 'UVC': 0.149444580078125, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:01:29,{'Temperature': 58.4},{'Usage': 0.5},{'Usage': 12.9},Error,"{'Acceleration': [1.0199299072265624, -0.7110778930664062, -9.94072529296875], 'Gyro': [-0.010924962030534353, 0.003996937328244275, -0.0010658499541984733], 'Magnetic': [-30.45, 18.599999999999998, -41.55]}","{'UVA': 0.228271484375, 'UVB': 0.1845703125, 'UVC': 0.144378662109375, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:01:36,{'Temperature': 61.15},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0390835205078124, -0.7062894897460937, -9.935936889648437], 'Gyro': [-0.0010658499541984733, 0.007194487190839696, 0.002398162396946565], 'Magnetic': [-30.75, 19.95, -39.9]}","{'UVA': 0.2178955078125, 'UVB': 0.1845703125, 'UVC': 0.119049072265625, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:01:46,{'Temperature': 58.95},{'Usage': 13.3},{'Usage': 12.9},Error,"{'Acceleration': [1.0295067138671874, -0.7062894897460937, -9.931148486328125], 'Gyro': [-0.00799387465648855, 0.004529862305343512, -0.00159877493129771], 'Magnetic': [-30.15, 18.599999999999998, -40.05]}","{'UVA': 0.15045166015625, 'UVB': 0.109588623046875, 'UVC': 0.07598876953125, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:01:56,{'Temperature': 58.4},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0893617553710937, -0.7038952880859375, -9.919177478027343], 'Gyro': [-0.006661562213740459, 0.005062787282442748, -0.0021316999083969466], 'Magnetic': [-30.299999999999997, 18.0, -42.449999999999996]}","{'UVA': 0.166015625, 'UVB': 0.138427734375, 'UVC': 0.09625244140625, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:02:06,{'Temperature': 58.95},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0103531005859374, -0.622492431640625, -9.911994873046874], 'Gyro': [-0.010658499541984735, 0.008260337145038169, -0.0002664624885496183], 'Magnetic': [-30.9, 20.55, -39.75]}","{'UVA': 0.1971435546875, 'UVB': 0.1614990234375, 'UVC': 0.124114990234375, 'Temperature': 27.0}",Error
2024-07-17 17:02:12,{'Temperature': 60.05},{'Usage': 0.3},{'Usage': 12.9},Error,"{'Acceleration': [1.0031704956054688, -0.6943184814453125, -9.95987890625], 'Gyro': [-0.004263399816793893, 0.00479632479389313, -0.0026646248854961837], 'Magnetic': [-32.4, 19.05, -40.05]}","{'UVA': 0.12969970703125, 'UVB': 0.098052978515625, 'UVC': 0.053192138671875, 'Temperature': 27.0}",Error
2024-07-17 17:02:19,{'Temperature': 59.5},{'Usage': 14.6},{'Usage': 12.9},Error,"{'Acceleration': [1.024718310546875, -0.6512228515624999, -9.983820922851562], 'Gyro': [-0.006928024702290077, 0.01119142451908397, -0.002931087374045802], 'Magnetic': [-30.9, 18.3, -40.8]}","{'UVA': 0.1556396484375, 'UVB': 0.138427734375, 'UVC': 0.093719482421875, 'Temperature': 27.0}",Error
2024-07-17 17:02:26,{'Temperature': 59.5},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0007762939453124, -0.7062894897460937, -9.919177478027343], 'Gyro': [-0.009059724610687023, 0.004529862305343512, 0.0018652374198473284], 'Magnetic': [-31.799999999999997, 18.9, -39.6]}","{'UVA': 0.14007568359375, 'UVB': 0.12689208984375, 'UVC': 0.08612060546875, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:02:33,{'Temperature': 60.6},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0295067138671874, -0.689530078125, -9.95987890625], 'Gyro': [-0.009326187099236643, 0.007194487190839696, 0.000799387465648855], 'Magnetic': [-32.699999999999996, 19.05, -42.0]}","{'UVA': 0.103759765625, 'UVB': 0.063446044921875, 'UVC': 0.04052734375, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:02:40,{'Temperature': 58.95},{'Usage': 0.5},{'Usage': 12.9},Error,"{'Acceleration': [1.0295067138671874, -0.6536170532226562, -9.993397729492187], 'Gyro': [-0.00959264958778626, 0.004529862305343512, -0.005062787282442748], 'Magnetic': [-30.75, 18.45, -39.9]}","{'UVA': 0.166015625, 'UVB': 0.12689208984375, 'UVC': 0.088653564453125, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:02:47,{'Temperature': 61.15},{'Usage': 1.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0893617553710937, -0.6440402465820312, -9.95987890625], 'Gyro': [-0.012523736961832063, 0.005862174748091604, 0.00159877493129771], 'Magnetic': [-31.95, 19.05, -41.55]}","{'UVA': 0.166015625, 'UVB': 0.138427734375, 'UVC': 0.09625244140625, 'Temperature': 27.0}",Error
2024-07-17 17:02:54,{'Temperature': 58.4},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0486603271484374, -0.6823474731445313, -9.945513696289062], 'Gyro': [-0.008793262122137404, 0.00959264958778626, -0.002398162396946565], 'Magnetic': [-31.049999999999997, 18.0, -41.699999999999996]}","{'UVA': 0.19195556640625, 'UVB': 0.155731201171875, 'UVC': 0.113983154296875, 'Temperature': 26.849999999999994}",Error
2024-07-17 17:03:00,{'Temperature': 59.5},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.024718310546875, -0.6344634399414062, -9.907206469726562], 'Gyro': [-0.008260337145038169, 0.00799387465648855, 0.0018652374198473284], 'Magnetic': [-30.9, 18.599999999999998, -43.05]}","{'UVA': 0.1348876953125, 'UVB': 0.109588623046875, 'UVC': 0.073455810546875, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:03:07,{'Temperature': 60.05},{'Usage': 14.6},{'Usage': 12.9},Error,"{'Acceleration': [0.9959878906249999, -0.6871358764648438, -9.957484704589843], 'Gyro': [-0.010392037053435116, 0.0061286372366412215, -0.00159877493129771], 'Magnetic': [-30.75, 17.7, -41.1]}","{'UVA': 0.20233154296875, 'UVB': 0.1614990234375, 'UVC': 0.113983154296875, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:03:14,{'Temperature': 58.95},{'Usage': 0.5},{'Usage': 12.9},Error,"{'Acceleration': [1.0486603271484374, -0.6464344482421874, -9.955090502929687], 'Gyro': [-0.0018652374198473284, 0.004529862305343512, 0.002398162396946565], 'Magnetic': [-30.75, 19.65, -42.9]}","{'UVA': 0.18157958984375, 'UVB': 0.14996337890625, 'UVC': 0.108917236328125, 'Temperature': 26.900000000000006}",Error
2024-07-17 17:03:21,{'Temperature': 60.05},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0414777221679687, -0.718260498046875, -9.943119494628906], 'Gyro': [-0.007460949679389314, 0.0005329249770992366, -0.002931087374045802], 'Magnetic': [-31.2, 17.849999999999998, -40.5]}","{'UVA': 0.12451171875, 'UVB': 0.09228515625, 'UVC': 0.058258056640625, 'Temperature': 26.799999999999997}",Error
2024-07-17 17:03:28,{'Temperature': 58.4},{'Usage': 0.5},{'Usage': 12.9},Error,"{'Acceleration': [1.0438719238281249, -0.6392518432617187, -9.981426721191406], 'Gyro': [-0.007727412167938932, 0.005062787282442748, 0.003996937328244275], 'Magnetic': [-31.5, 18.9, -41.4]}","{'UVA': 0.1763916015625, 'UVB': 0.132659912109375, 'UVC': 0.103851318359375, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:03:35,{'Temperature': 61.15},{'Usage': 0.3},{'Usage': 12.9},Error,"{'Acceleration': [1.0007762939453124, -0.6967126831054687, -10.038887561035155], 'Gyro': [-0.000799387465648855, 0.005862174748091604, -0.002931087374045802], 'Magnetic': [-31.049999999999997, 19.65, -41.4]}","{'UVA': 0.18157958984375, 'UVB': 0.132659912109375, 'UVC': 0.103851318359375, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:03:42,{'Temperature': 58.95},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0510545288085937, -0.7038952880859375, -9.952696301269532], 'Gyro': [-0.00479632479389313, 0.003730474839694657, 0.003730474839694657], 'Magnetic': [-31.2, 18.599999999999998, -41.55]}","{'UVA': 0.22308349609375, 'UVB': 0.1845703125, 'UVC': 0.139312744140625, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:03:48,{'Temperature': 60.6},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0606313354492187, -0.6871358764648438, -9.986215124511718], 'Gyro': [-0.00639509972519084, 0.00639509972519084, 0.0018652374198473284], 'Magnetic': [-31.2, 19.8, -41.55]}","{'UVA': 0.23345947265625, 'UVB': 0.1845703125, 'UVC': 0.14691162109375, 'Temperature': 26.950000000000003}",Error
2024-07-17 17:03:55,{'Temperature': 59.5},{'Usage': 14.8},{'Usage': 12.9},Error,"{'Acceleration': [1.0749965454101562, -0.679953271484375, -9.943119494628906], 'Gyro': [-0.009059724610687023, 0.00319754986259542, -0.0005329249770992366], 'Magnetic': [-29.7, 19.05, -41.55]}","{'UVA': 0.18157958984375, 'UVB': 0.178802490234375, 'UVC': 0.124114990234375, 'Temperature': 27.0}",Error
2024-07-17 17:04:02,{'Temperature': 60.05},{'Usage': 0.5},{'Usage': 12.9},Error,"{'Acceleration': [1.0295067138671874, -0.6679822631835937, -9.986215124511718], 'Gyro': [-0.008526799633587786, 0.007727412167938932, 0.003996937328244275], 'Magnetic': [-31.799999999999997, 18.9, -40.65]}","{'UVA': 0.21270751953125, 'UVB': 0.201873779296875, 'UVC': 0.154510498046875, 'Temperature': 27.0}",Error
2024-07-17 17:04:09,{'Temperature': 61.15},{'Usage': 1.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0726023437499999, -0.6560112548828124, -9.943119494628906], 'Gyro': [-0.00479632479389313, 0.004263399816793893, -0.0002664624885496183], 'Magnetic': [-32.4, 18.599999999999998, -40.5]}","{'UVA': 0.1763916015625, 'UVB': 0.132659912109375, 'UVC': 0.09625244140625, 'Temperature': 27.0}",Error
2024-07-17 17:04:16,{'Temperature': 58.95},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0127473022460938, -0.6775590698242188, -9.974244116210937], 'Gyro': [-0.00985911207633588, 0.007460949679389314, -0.0005329249770992366], 'Magnetic': [-30.75, 17.25, -39.9]}","{'UVA': 0.1971435546875, 'UVB': 0.1614990234375, 'UVC': 0.12664794921875, 'Temperature': 27.0}",Error
2024-07-17 17:04:26,{'Temperature': 60.6},{'Usage': 0.0},{'Usage': 12.9},Error,"{'Acceleration': [1.0319009155273438, -0.7350199096679687, -9.926360083007811], 'Gyro': [-0.00799387465648855, 0.007727412167938932, -0.004263399816793893], 'Magnetic': [-30.75, 18.0, -40.65]}","{'UVA': 0.18157958984375, 'UVB': 0.144195556640625, 'UVC': 0.101318359375, 'Temperature': 27.0}",Error
2024-07-17 17:04:33,{'Temperature': 60.6},{'Usage': 0.2},{'Usage': 12.9},Error,"{'Acceleration': [1.0702081420898437, -0.59376201171875, -9.938331091308592], 'Gyro': [-0.004529862305343512, 0.0, -0.00159877493129771], 'Magnetic': [-31.799999999999997, 18.0, -39.9]}","{'UVA': 0.1348876953125, 'UVB': 0.132659912109375, 'UVC': 0.08612060546875, 'Temperature': 27.0}",Error
